alert_id,user_id,transaction_id,alert_type_id,alert_timestamp,status
1,194,4729,2,2021-08-01 14:15:22,Resolved
2,219,740,5,2021-10-14 08:40:09,Pending
3,241,2254,4,2023-05-05 19:36:08,Resolved
4,441,1230,3,2024-03-14 15:44:50,Resolved
5,333,2847,4,2024-04-10 05:04:45,Resolved
6,265,4933,5,2020-01-22 19:07:49,Pending
7,135,940,3,2022-05-05 01:22:10,Resolved
8,231,4486,2,2020-11-13 21:48:28,Resolved
9,174,1834,1,2024-01-14 21:48:03,Resolved
10,175,2435,4,2020-05-28 11:18:25,Pending
11,135,3695,3,2020-03-15 15:06:23,Resolved
12,40,2500,2,2021-11-04 12:12:41,Pending
13,90,4877,1,2020-01-13 03:48:42,Resolved
14,125,3409,1,2023-09-22 14:19:26,Pending
15,446,1464,5,2021-12-10 15:11:21,Pending
16,114,2088,4,2023-06-17 20:20:35,Pending
17,95,822,4,2021-10-01 04:18:44,Pending
18,342,2867,3,2020-03-12 22:06:39,Resolved
19,245,373,5,2022-02-07 20:52:52,Pending
20,79,1011,2,2022-01-01 18:44:19,Pending
21,210,1320,2,2020-09-25 08:29:37,Resolved
22,291,807,1,2021-06-11 17:45:37,Pending
23,333,1893,1,2022-04-13 16:15:09,Pending
24,61,1614,3,2024-09-20 14:56:51,Resolved
25,43,4818,1,2023-07-20 19:56:14,Resolved
26,393,1038,1,2024-10-12 18:09:56,Pending
27,252,543,5,2021-03-20 06:36:03,Pending
28,138,1466,2,2023-02-19 01:54:56,Resolved
29,71,1373,3,2020-02-08 14:33:24,Resolved
30,301,904,2,2022-04-04 22:05:39,Resolved
31,236,4144,4,2020-10-11 18:35:16,Resolved
32,377,2212,3,2024-03-13 00:24:57,Pending
33,94,3238,4,2021-08-23 09:06:52,Pending
34,23,4006,5,2021-12-15 09:05:52,Resolved
35,317,3829,3,2024-09-24 17:33:09,Pending
36,114,1272,5,2020-03-07 22:10:34,Resolved
37,383,3297,2,2020-03-18 00:06:06,Resolved
38,100,3579,1,2020-05-08 23:28:00,Resolved
39,23,3167,2,2020-10-29 01:31:32,Resolved
40,461,86,2,2021-06-21 08:19:16,Pending
41,142,4414,1,2024-05-26 02:42:51,Pending
42,468,1446,4,2020-04-11 19:53:42,Pending
43,87,1093,4,2021-03-28 11:11:02,Resolved
44,212,558,5,2024-08-23 05:09:31,Pending
45,413,1309,1,2022-11-13 17:53:39,Resolved
46,3,533,4,2023-04-06 14:30:18,Resolved
47,23,417,2,2021-01-31 11:41:14,Resolved
48,394,2268,2,2024-10-01 22:18:52,Resolved
49,4,587,3,2023-08-07 06:38:57,Resolved
50,469,3450,3,2023-04-15 03:29:05,Resolved
51,434,2432,4,2021-10-14 15:21:42,Resolved
52,143,827,3,2022-09-13 01:29:11,Pending
53,348,4764,1,2020-12-16 12:36:38,Pending
54,57,4860,3,2023-03-14 12:59:40,Pending
55,410,2554,3,2020-02-11 07:21:00,Pending
56,89,4812,1,2020-03-13 13:01:43,Pending
57,42,4726,5,2020-02-17 16:43:40,Pending
58,156,1523,1,2024-02-17 17:18:55,Resolved
59,84,2087,5,2021-04-25 14:56:21,Pending
60,371,4232,3,2020-10-24 05:32:23,Resolved
61,311,4613,1,2020-07-20 18:40:02,Pending
62,304,3190,3,2023-08-15 17:17:19,Resolved
63,153,61,3,2022-08-07 16:04:47,Resolved
64,97,539,5,2021-02-22 13:53:58,Pending
65,125,4557,1,2022-11-06 17:21:04,Resolved
66,193,1098,2,2020-11-14 01:45:34,Pending
67,275,2064,4,2021-04-17 01:01:37,Resolved
68,388,4929,1,2022-07-23 13:52:46,Resolved
69,348,3209,5,2022-09-01 10:02:37,Resolved
70,220,1953,5,2023-05-06 13:18:56,Resolved
71,224,3883,3,2024-10-31 20:10:03,Resolved
72,223,4318,5,2024-07-14 12:50:37,Pending
73,419,2138,1,2020-08-09 13:28:11,Resolved
74,178,935,1,2021-04-26 19:01:51,Resolved
75,180,2805,2,2021-08-28 10:02:21,Resolved
76,258,1663,1,2021-11-08 10:39:50,Pending
77,37,2844,5,2021-05-15 20:58:37,Resolved
78,195,1343,2,2023-02-13 21:43:55,Pending
79,116,4704,2,2021-08-29 16:30:26,Pending
80,400,18,5,2022-10-22 15:18:14,Pending
81,441,954,2,2020-10-21 18:45:26,Resolved
82,360,277,1,2023-03-10 17:58:16,Pending
83,209,4061,3,2022-09-05 07:35:10,Resolved
84,1,3428,5,2021-11-13 13:37:08,Pending
85,461,211,2,2024-03-24 00:56:49,Resolved
86,89,1003,1,2021-04-06 04:29:08,Resolved
87,108,1661,4,2021-11-15 03:12:31,Resolved
88,2,3302,4,2024-03-28 23:05:30,Pending
89,258,604,5,2023-05-30 11:44:15,Resolved
90,243,2827,5,2020-10-02 12:40:04,Resolved
91,98,2203,3,2023-01-25 20:19:20,Resolved
92,321,185,2,2020-12-28 03:15:08,Resolved
93,55,3777,1,2020-07-04 14:18:26,Pending
94,121,3307,3,2023-08-18 05:30:36,Pending
95,455,111,5,2021-08-16 11:45:48,Resolved
96,173,4250,2,2023-01-31 15:13:42,Pending
97,347,2213,4,2022-03-06 21:09:10,Resolved
98,486,3526,2,2023-07-31 02:38:19,Resolved
99,51,920,1,2022-11-19 15:27:34,Pending
100,453,4776,5,2024-04-25 09:31:42,Resolved
101,6,384,3,2021-09-15 12:21:01,Resolved
102,134,3098,5,2021-12-01 13:46:13,Pending
103,326,1161,5,2022-06-24 10:08:05,Resolved
104,349,2960,2,2022-07-02 18:50:13,Resolved
105,182,2060,1,2021-10-15 04:54:59,Pending
106,424,4079,1,2020-09-04 20:19:48,Resolved
107,183,1221,3,2024-12-11 09:32:37,Pending
108,436,1618,1,2023-11-07 14:03:36,Resolved
109,107,2189,3,2022-05-21 10:57:12,Pending
110,223,4301,5,2023-06-28 13:03:39,Pending
111,19,2872,5,2024-11-27 20:49:41,Resolved
112,20,1760,3,2023-05-17 22:21:57,Pending
113,123,548,5,2022-05-01 08:23:03,Pending
114,274,232,2,2024-08-21 17:11:03,Pending
115,181,4774,4,2021-05-15 10:44:05,Pending
116,147,4099,4,2023-08-04 22:52:30,Resolved
117,71,1360,5,2020-02-19 18:40:57,Pending
118,302,2039,3,2022-07-24 08:13:22,Pending
119,79,1310,2,2020-07-29 14:52:09,Pending
120,367,646,1,2021-05-05 16:06:59,Pending
121,180,950,2,2023-09-06 09:31:11,Resolved
122,402,4562,5,2022-07-13 03:26:48,Pending
123,343,3671,5,2022-09-29 05:23:14,Pending
124,346,3570,2,2024-01-05 06:38:28,Resolved
125,20,4933,3,2021-04-12 16:44:58,Resolved
126,278,3783,3,2023-02-25 14:03:34,Resolved
127,131,3503,4,2024-03-23 04:17:56,Pending
128,251,1406,3,2020-06-21 05:13:47,Resolved
129,324,2154,4,2024-09-26 07:28:54,Pending
130,480,1387,1,2024-03-27 16:21:27,Resolved
131,127,2089,2,2020-04-02 05:04:33,Pending
132,297,981,3,2020-06-07 19:21:25,Pending
133,204,2772,5,2023-12-23 23:59:26,Resolved
134,7,1144,2,2022-05-11 11:29:19,Resolved
135,295,2172,5,2022-04-16 14:28:22,Pending
136,244,1698,3,2020-08-15 17:08:47,Resolved
137,440,4732,3,2020-07-23 13:29:17,Resolved
138,81,4361,4,2020-01-01 16:37:40,Resolved
139,459,3316,3,2020-10-30 21:46:34,Pending
140,308,3164,2,2022-03-12 15:25:50,Pending
141,64,4820,5,2020-03-14 22:49:21,Resolved
142,57,3514,3,2020-01-05 04:52:56,Pending
143,237,1505,3,2024-04-19 18:45:19,Resolved
144,256,3909,2,2021-05-26 23:31:05,Pending
145,125,2611,4,2022-06-25 06:54:36,Pending
146,101,1004,2,2023-02-20 14:13:42,Pending
147,477,4735,1,2024-02-25 17:55:39,Resolved
148,405,2289,2,2023-03-04 15:50:54,Resolved
149,8,2448,5,2021-12-21 05:40:33,Pending
150,264,3334,2,2022-08-25 08:59:10,Pending
151,178,75,1,2024-10-10 04:21:37,Pending
152,173,2746,1,2020-01-25 00:08:14,Resolved
153,241,1587,4,2023-06-04 03:43:38,Pending
154,317,2693,3,2022-01-27 01:11:12,Resolved
155,475,145,2,2023-06-04 15:43:01,Resolved
156,35,1201,1,2022-08-02 04:15:55,Pending
157,269,3172,3,2023-10-23 13:18:53,Pending
158,6,4152,4,2024-12-07 06:05:11,Pending
159,286,4442,4,2022-09-27 02:47:26,Pending
160,62,2498,1,2020-12-21 12:57:26,Pending
161,242,2529,5,2024-05-26 07:45:16,Resolved
162,255,3492,5,2021-08-20 21:07:55,Resolved
163,349,4553,4,2022-01-14 13:44:59,Pending
164,228,502,2,2024-01-21 16:03:17,Pending
165,489,986,5,2022-01-04 06:08:23,Pending
166,249,2277,3,2022-05-06 14:17:04,Pending
167,488,4695,5,2023-11-08 13:42:02,Resolved
168,431,3120,4,2020-03-18 20:55:25,Pending
169,21,4682,1,2024-05-04 08:00:36,Pending
170,428,2545,4,2022-12-21 12:20:54,Resolved
171,453,2278,1,2020-12-02 19:55:58,Resolved
172,46,4713,3,2022-05-07 07:48:58,Pending
173,304,4927,1,2020-04-23 10:45:59,Pending
174,295,2619,4,2021-05-08 19:50:10,Pending
175,39,1857,4,2020-09-01 01:24:56,Pending
176,460,2778,3,2020-09-13 18:46:38,Resolved
177,275,903,3,2022-12-29 09:05:43,Pending
178,191,3307,1,2020-04-14 22:31:08,Pending
179,462,3815,3,2023-07-10 00:50:52,Pending
180,483,3881,3,2020-01-16 21:11:33,Pending
181,112,2054,5,2023-12-03 04:20:29,Pending
182,412,321,3,2022-11-19 12:54:51,Resolved
183,423,3846,4,2021-08-13 03:10:11,Resolved
184,271,755,2,2023-04-27 21:49:19,Resolved
185,354,1071,3,2024-01-23 20:03:37,Resolved
186,343,3549,5,2023-09-19 15:41:50,Resolved
187,234,374,5,2023-10-14 07:54:08,Resolved
188,25,536,4,2020-05-27 05:49:30,Resolved
189,103,1643,2,2021-02-25 09:57:27,Resolved
190,479,3322,4,2023-05-10 16:56:47,Resolved
191,243,2032,5,2024-08-13 05:38:02,Resolved
192,451,4424,1,2021-08-26 09:34:10,Resolved
193,122,857,5,2020-03-07 17:56:04,Resolved
194,353,3384,1,2021-06-21 12:51:44,Resolved
195,2,1069,5,2023-08-30 07:19:45,Pending
196,173,2756,4,2022-01-27 22:28:20,Pending
197,434,2900,3,2023-02-19 12:38:46,Resolved
198,484,3379,1,2020-10-25 14:56:02,Pending
199,27,1251,2,2020-12-17 02:59:03,Resolved
200,478,1766,1,2021-08-24 15:00:54,Resolved
201,403,3611,4,2022-03-26 19:54:16,Resolved
202,44,1792,5,2024-06-30 20:18:22,Resolved
203,215,1561,5,2022-09-10 04:21:39,Resolved
204,320,3796,2,2023-03-27 16:30:24,Pending
205,217,2746,3,2021-04-26 00:40:03,Pending
206,19,4615,2,2021-07-16 10:07:00,Resolved
207,336,2113,1,2020-11-11 21:02:14,Resolved
208,498,2223,3,2024-06-16 08:40:56,Resolved
209,303,2555,5,2023-08-23 20:40:49,Pending
210,224,4747,3,2020-05-14 17:16:46,Pending
211,497,999,2,2023-10-27 13:12:30,Pending
212,388,805,1,2023-05-28 23:57:27,Resolved
213,402,2647,5,2024-06-22 19:15:27,Pending
214,378,4408,5,2024-09-17 04:44:50,Pending
215,287,2897,2,2024-04-03 09:39:35,Pending
216,463,2387,1,2021-09-15 16:19:16,Pending
217,350,2777,5,2020-01-03 04:45:08,Pending
218,438,754,3,2021-03-06 22:41:51,Resolved
219,246,925,3,2024-08-07 22:01:47,Resolved
220,334,4373,5,2022-01-20 23:09:13,Pending
221,450,3935,5,2023-12-30 14:14:56,Resolved
222,389,4205,4,2024-08-05 19:42:26,Resolved
223,415,1251,2,2021-03-31 06:00:41,Pending
224,114,2602,1,2024-12-13 08:40:20,Resolved
225,413,643,4,2022-08-06 02:53:47,Resolved
226,361,1845,3,2021-01-30 08:24:13,Resolved
227,78,2950,2,2024-07-06 18:44:18,Resolved
228,80,1182,1,2021-01-06 09:43:27,Pending
229,329,1793,3,2024-10-11 09:11:35,Resolved
230,174,3413,3,2022-01-26 16:18:24,Resolved
231,161,469,1,2023-04-18 18:42:06,Resolved
232,238,297,5,2023-09-06 09:57:46,Resolved
233,6,1981,2,2021-06-19 03:14:49,Resolved
234,380,75,5,2022-12-03 00:07:04,Pending
235,429,3252,4,2021-05-29 00:29:38,Pending
236,330,3139,5,2021-07-24 23:29:41,Pending
237,356,907,3,2024-01-25 21:21:09,Pending
238,27,3172,1,2020-06-15 13:53:45,Pending
239,399,1880,5,2022-03-22 00:01:39,Pending
240,416,4375,3,2022-12-08 08:22:36,Pending
241,321,4404,1,2020-04-20 18:54:39,Resolved
242,18,679,2,2024-01-04 11:43:31,Pending
243,277,3684,5,2020-08-08 05:02:41,Pending
244,44,1343,4,2023-06-16 16:20:30,Pending
245,19,879,5,2023-12-19 00:25:10,Resolved
246,466,3653,4,2021-02-25 23:31:10,Resolved
247,175,3174,3,2022-12-12 06:35:51,Pending
248,150,1474,1,2020-03-17 13:50:19,Resolved
249,87,3783,5,2021-03-01 19:45:47,Pending
250,84,2260,1,2020-04-24 02:21:02,Resolved
251,124,640,2,2021-11-17 19:55:08,Pending
252,349,1114,3,2023-06-04 07:21:48,Pending
253,186,4484,3,2021-01-07 10:13:41,Resolved
254,468,2677,2,2020-04-08 03:32:59,Pending
255,306,1237,3,2023-12-31 23:23:19,Resolved
256,317,1333,3,2021-06-02 06:18:22,Pending
257,168,168,4,2024-02-11 08:15:47,Resolved
258,233,2786,1,2021-06-03 01:25:39,Resolved
259,218,4872,5,2021-04-06 12:13:22,Pending
260,300,4289,4,2020-12-31 05:54:36,Resolved
261,109,679,4,2020-09-22 18:16:41,Resolved
262,83,2258,1,2023-02-27 14:37:14,Pending
263,206,957,2,2023-01-16 03:06:18,Resolved
264,326,540,1,2021-10-26 13:46:46,Pending
265,381,1818,3,2024-04-13 17:23:05,Pending
266,138,1100,5,2021-08-11 04:57:27,Resolved
267,233,4493,1,2020-06-17 16:43:08,Pending
268,71,4008,1,2021-02-24 19:05:07,Resolved
269,382,4713,5,2021-10-28 18:43:14,Resolved
270,112,1064,2,2022-03-23 08:03:56,Pending
271,291,1495,4,2021-03-13 08:07:43,Resolved
272,324,4054,2,2021-02-16 18:47:52,Pending
273,311,269,3,2024-04-01 03:14:08,Pending
274,36,468,3,2024-04-27 19:30:27,Resolved
275,185,3418,3,2022-12-20 15:08:48,Pending
276,83,1961,4,2024-09-28 11:30:24,Resolved
277,491,48,2,2022-04-30 19:46:11,Pending
278,416,1518,1,2022-03-15 15:42:40,Resolved
279,153,1902,4,2024-06-27 03:26:11,Resolved
280,469,4627,4,2022-09-05 00:14:23,Resolved
281,301,3202,4,2020-05-17 20:59:19,Resolved
282,305,2927,4,2020-12-10 14:24:13,Resolved
283,111,2555,4,2022-05-19 12:58:56,Resolved
284,195,2350,5,2021-05-07 06:49:51,Pending
285,260,3200,1,2022-06-30 20:18:47,Pending
286,129,83,4,2023-08-29 00:34:13,Pending
287,384,253,1,2020-09-16 08:24:06,Resolved
288,487,429,5,2022-12-08 00:49:52,Pending
289,83,4694,5,2020-03-08 17:29:21,Resolved
290,202,473,4,2023-02-22 14:53:38,Resolved
291,363,1368,2,2024-04-01 09:37:39,Pending
292,274,2542,2,2021-08-15 05:30:14,Resolved
293,465,4645,3,2024-08-13 10:06:51,Resolved
294,334,2585,4,2022-09-02 10:42:19,Pending
295,298,3885,2,2020-10-15 04:15:23,Pending
296,430,856,3,2020-07-25 03:24:07,Pending
297,174,858,3,2021-03-02 22:30:25,Resolved
298,375,4245,2,2021-03-20 05:51:08,Pending
299,372,990,4,2023-08-20 14:48:01,Pending
300,330,3573,1,2022-10-11 02:28:32,Pending
301,310,579,5,2024-10-15 03:39:56,Resolved
302,238,65,1,2023-04-29 01:43:23,Pending
303,110,3095,2,2024-04-09 03:21:27,Pending
304,54,2705,4,2021-10-03 08:14:26,Resolved
305,336,553,5,2022-04-20 00:25:27,Pending
306,124,2183,2,2023-07-11 06:09:16,Pending
307,43,2906,3,2023-12-31 08:22:27,Pending
308,169,2555,2,2022-06-08 11:44:08,Pending
309,32,4291,5,2023-04-12 06:03:54,Resolved
310,167,3441,3,2021-05-09 01:16:34,Resolved
311,144,3421,5,2022-07-14 03:02:33,Resolved
312,437,4652,4,2020-07-09 20:33:37,Pending
313,152,1637,4,2023-01-28 04:38:07,Pending
314,252,4629,1,2020-11-30 02:06:28,Resolved
315,196,4803,2,2023-03-02 10:20:37,Resolved
316,103,122,1,2021-07-15 18:31:21,Pending
317,11,1625,4,2021-12-21 21:20:44,Pending
318,455,3030,5,2021-05-12 16:26:47,Pending
319,409,4308,2,2024-09-26 01:35:17,Resolved
320,40,2598,5,2024-05-15 08:56:55,Pending
321,18,2771,3,2024-07-28 18:03:49,Resolved
322,207,2948,2,2024-02-17 09:34:16,Resolved
323,464,2688,2,2023-04-13 12:40:06,Pending
324,246,1717,1,2024-02-02 00:13:56,Pending
325,120,1114,1,2023-11-25 12:09:32,Pending
326,355,3175,2,2020-03-27 10:59:23,Resolved
327,481,2018,4,2024-03-22 06:21:33,Pending
328,379,1114,4,2023-07-05 14:13:07,Pending
329,94,4213,5,2021-05-28 05:11:30,Resolved
330,85,1581,1,2021-10-04 14:21:47,Pending
331,328,1345,2,2022-04-17 23:46:37,Resolved
332,79,4605,3,2021-08-05 02:58:31,Resolved
333,439,118,5,2020-09-22 14:38:02,Pending
334,139,4759,2,2021-05-21 15:23:38,Resolved
335,444,69,5,2023-02-21 00:56:38,Pending
336,309,40,1,2024-11-22 00:14:55,Resolved
337,159,2904,5,2020-01-19 11:06:59,Resolved
338,498,2493,4,2021-07-28 10:48:28,Resolved
339,334,1951,5,2022-01-07 18:41:17,Resolved
340,142,1171,2,2020-12-18 16:06:09,Pending
341,399,1595,4,2021-12-29 04:38:11,Resolved
342,100,3447,4,2021-06-17 02:14:09,Pending
343,443,1892,2,2022-02-05 02:20:48,Resolved
344,483,1549,5,2021-04-26 04:24:06,Pending
345,352,1469,3,2020-07-08 03:18:35,Resolved
346,369,4693,5,2024-02-27 10:45:26,Resolved
347,125,4543,1,2023-10-17 15:21:50,Pending
348,374,2744,4,2020-10-10 15:59:24,Resolved
349,232,618,2,2021-12-17 06:50:46,Resolved
350,7,3612,3,2021-01-31 05:29:40,Pending
351,222,1620,5,2021-05-30 01:20:13,Resolved
352,177,1270,3,2023-06-17 19:46:10,Pending
353,262,2559,3,2024-06-29 06:44:59,Resolved
354,300,544,1,2020-05-16 07:21:59,Resolved
355,294,1761,2,2022-09-19 19:56:10,Resolved
356,488,421,5,2024-06-05 01:07:13,Pending
357,460,129,2,2023-09-21 15:15:01,Pending
358,424,4292,1,2024-02-24 02:53:01,Pending
359,274,2891,2,2021-05-16 15:25:05,Resolved
360,269,2735,2,2022-05-24 11:17:40,Resolved
361,200,3791,1,2024-03-02 09:50:05,Pending
362,21,2083,4,2020-07-04 20:44:39,Resolved
363,105,4815,1,2022-06-11 02:12:11,Resolved
364,306,1238,1,2020-05-10 21:52:19,Resolved
365,61,284,4,2021-06-25 08:59:23,Resolved
366,463,1526,1,2024-10-01 09:36:09,Pending
367,122,444,1,2020-01-13 15:27:27,Pending
368,467,198,1,2024-06-14 12:20:22,Resolved
369,497,3218,4,2020-01-21 04:37:34,Pending
370,130,908,4,2020-01-12 03:16:55,Pending
371,336,739,2,2020-01-22 22:48:31,Resolved
372,283,2227,3,2024-08-28 22:51:42,Resolved
373,428,1686,2,2023-05-10 17:45:04,Pending
374,191,994,3,2024-09-26 04:16:23,Pending
375,33,4024,4,2022-10-05 16:00:59,Resolved
376,174,3614,4,2021-06-01 10:35:34,Pending
377,103,1691,2,2023-07-08 10:01:37,Resolved
378,202,79,3,2021-07-25 14:22:23,Pending
379,340,4194,4,2024-04-19 09:40:12,Resolved
380,119,3798,1,2020-12-07 12:40:11,Pending
381,170,1703,5,2024-11-14 06:05:25,Resolved
382,233,916,5,2024-01-31 13:57:53,Resolved
383,474,2962,2,2021-08-10 11:39:24,Resolved
384,120,3344,2,2022-02-12 02:30:38,Resolved
385,228,2804,2,2022-12-12 08:23:58,Pending
386,148,75,1,2021-08-26 02:17:05,Resolved
387,107,2865,3,2024-10-27 23:01:43,Resolved
388,224,3281,1,2020-05-19 05:53:56,Resolved
389,158,2140,4,2023-08-01 00:39:06,Pending
390,243,3090,2,2021-05-30 06:16:39,Pending
391,70,984,3,2024-08-22 01:24:34,Pending
392,14,4599,2,2023-02-15 16:07:45,Resolved
393,109,2004,1,2023-11-14 02:13:34,Resolved
394,471,4014,2,2024-02-28 12:42:42,Resolved
395,224,195,2,2022-10-01 03:19:05,Resolved
396,356,1736,3,2020-05-17 07:33:48,Resolved
397,370,4949,4,2023-12-17 13:49:52,Resolved
398,262,1245,1,2024-09-30 20:56:14,Pending
399,106,1360,5,2023-01-02 23:24:48,Resolved
400,486,194,2,2020-12-02 05:59:02,Pending
401,178,4455,3,2024-08-14 02:00:33,Resolved
402,219,3900,5,2023-04-04 15:27:35,Resolved
403,407,2272,2,2020-07-04 23:59:34,Pending
404,73,2043,3,2022-11-10 00:05:35,Pending
405,378,4982,5,2024-01-16 21:23:57,Pending
406,290,1319,1,2024-12-21 03:03:14,Pending
407,222,1821,3,2022-01-22 15:43:52,Resolved
408,147,4712,5,2024-09-02 15:49:28,Resolved
409,469,2734,5,2021-10-03 22:38:13,Pending
410,395,4177,5,2020-08-21 03:38:55,Pending
411,348,2799,2,2022-07-06 20:19:38,Pending
412,257,4141,2,2023-08-02 03:58:06,Resolved
413,180,4899,5,2024-12-30 19:27:41,Resolved
414,495,4541,1,2021-09-24 05:23:53,Resolved
415,224,2987,4,2024-09-16 02:38:14,Pending
416,408,1390,3,2023-11-15 22:44:58,Resolved
417,152,4828,3,2024-11-04 09:03:26,Pending
418,259,2871,5,2024-11-06 01:51:59,Resolved
419,447,624,4,2021-02-10 18:56:55,Pending
420,247,4402,2,2020-09-30 13:14:56,Pending
421,169,2422,4,2022-04-12 01:09:44,Resolved
422,468,3462,3,2020-02-21 22:15:57,Pending
423,418,1324,5,2024-09-01 13:27:51,Pending
424,130,4719,2,2024-01-18 12:56:56,Resolved
425,214,2048,2,2020-09-19 22:09:19,Pending
426,398,1442,5,2023-06-22 08:25:05,Pending
427,43,4128,1,2024-10-12 18:32:32,Pending
428,202,3706,1,2022-10-17 04:24:42,Pending
429,156,4166,4,2021-09-22 13:43:41,Resolved
430,431,3683,1,2021-11-09 16:49:40,Resolved
431,278,3663,2,2021-08-01 22:09:58,Pending
432,202,4732,3,2020-01-30 22:03:51,Pending
433,337,2179,4,2022-05-13 00:56:31,Resolved
434,56,2221,4,2024-11-26 10:32:13,Resolved
435,487,3814,2,2022-03-28 11:16:21,Resolved
436,83,867,2,2022-08-24 08:39:52,Pending
437,147,3813,1,2022-07-17 17:25:39,Resolved
438,88,3956,5,2024-02-11 11:50:03,Resolved
439,24,3136,1,2023-12-22 23:52:44,Pending
440,112,4765,4,2021-11-06 09:42:18,Resolved
441,107,447,1,2023-01-08 02:00:27,Resolved
442,167,1583,3,2021-09-04 18:37:47,Resolved
443,343,1661,2,2020-09-13 03:19:35,Resolved
444,302,3229,4,2020-06-14 15:49:03,Pending
445,143,2369,1,2021-03-05 09:32:45,Pending
446,289,4209,1,2023-11-30 16:21:37,Resolved
447,113,117,3,2022-04-02 01:57:32,Resolved
448,256,2902,5,2022-08-25 03:52:52,Resolved
449,222,39,3,2024-02-21 00:18:24,Pending
450,487,2954,1,2022-12-30 17:30:37,Resolved
451,16,1254,5,2021-06-25 06:56:30,Pending
452,188,2196,3,2022-02-05 11:47:38,Pending
453,482,837,5,2021-07-01 23:58:36,Resolved
454,254,2522,1,2021-12-13 11:58:20,Resolved
455,414,868,5,2024-06-17 16:50:23,Pending
456,118,396,3,2021-12-05 00:06:59,Pending
457,150,3715,1,2022-02-19 13:15:29,Pending
458,422,3800,3,2020-06-22 07:03:32,Resolved
459,92,4516,3,2021-05-16 06:38:15,Pending
460,100,4865,5,2024-04-03 05:45:51,Resolved
461,145,3253,4,2020-07-12 15:52:06,Pending
462,486,3971,2,2020-09-25 07:40:11,Resolved
463,393,4213,1,2022-08-10 02:01:44,Resolved
464,109,3017,1,2022-08-31 23:10:25,Resolved
465,102,615,4,2024-02-29 08:42:20,Pending
466,139,3369,5,2021-09-01 06:27:18,Resolved
467,479,82,5,2020-11-27 23:33:08,Pending
468,88,4218,5,2021-06-19 04:19:37,Pending
469,196,3804,3,2021-09-11 13:10:25,Pending
470,374,3402,1,2022-04-22 09:29:18,Pending
471,481,4462,3,2024-03-07 19:27:52,Resolved
472,442,2407,4,2024-11-07 22:16:49,Pending
473,403,4915,5,2024-09-15 06:02:25,Resolved
474,174,3734,4,2023-04-27 19:32:52,Pending
475,407,2047,5,2024-05-09 08:10:43,Resolved
476,387,3605,5,2022-02-21 09:17:16,Pending
477,129,1973,1,2020-08-21 11:34:23,Resolved
478,15,2211,3,2022-09-17 23:36:52,Pending
479,35,2952,4,2021-11-02 03:00:06,Resolved
480,93,4593,5,2021-05-10 19:31:38,Resolved
481,456,859,1,2020-12-05 08:13:48,Resolved
482,65,2199,4,2022-02-14 11:12:55,Pending
483,379,1050,1,2020-09-03 21:21:19,Pending
484,483,3903,2,2021-07-29 01:06:04,Resolved
485,99,3474,4,2020-11-28 10:42:30,Resolved
486,149,632,2,2022-06-16 20:06:41,Resolved
487,96,1219,2,2022-02-12 04:52:30,Pending
488,158,1828,2,2022-11-17 01:27:33,Pending
489,296,3578,4,2020-09-27 03:29:22,Pending
490,171,3211,5,2021-02-04 16:21:37,Pending
491,496,2094,2,2020-03-16 08:15:42,Resolved
492,350,829,3,2023-07-30 00:10:19,Resolved
493,142,802,1,2024-03-16 13:11:11,Pending
494,225,1767,3,2024-10-06 15:01:21,Resolved
495,315,1183,1,2024-07-11 14:50:07,Resolved
496,196,1608,5,2022-11-02 12:12:44,Resolved
497,241,3066,2,2021-07-12 11:04:54,Pending
498,498,1873,3,2024-08-13 02:24:26,Pending
499,279,2856,1,2020-02-03 03:49:58,Pending
500,315,3716,2,2024-08-06 16:10:33,Pending
